	official_title	brief_title	drug	phases	nct_id
500	Prospective Randomized Multicenter Study in First-line Treatment of Advanced progredIeNT Follicular And Other IndoleNt and Mantle Cell Lymphomas	Significance of Duration of Maintenance Therapy With Rituximab in Non-Hodgkin Lymphomas	Rituximab | Rituximab / observation	3	NCT00877214
501	A Phase 1 Study of Tazemetostat in Patients With Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma	A Phase 1 Study of Tazemetostat in Patients With Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma	tazemetostat	1	NCT03009344
502	Pre-administration of Rabbit Antithymocyte Globulin to Optimize Donor T-Cell Engraftment Following Reduced Intensity Allogeneic Peripheral Blood Progenitor Cell Transplantation From Matched-Related Donors	Early Administration of ATG Followed by Cyclophosphamide, Busulfan and Fludarabine Before a Donor Stem Cell Transplant in Patients With Hematological Cancer	busulfan | cyclophosphamide | fludarabine phosphate | methotrexate | tacrolimus	2	NCT00787761
503	A PHASE I TRIAL OF BUTYRATE AND GANCICLOVIR IN EBV-ASSOCIATED MALIGNANCIES	Ganciclovir Plus Arginine Butyrate in Treating Patients With Cancer or Lymphoproliferative Disorders Associated With the Epstein Barr Virus	arginine butyrate | ganciclovir	1	NCT00006340
504	Prospective Randomised Multicenter Study for Therapy Optimization (First Line) of Advanced Progredient, Low Malignant Non-Hodgkin Lymphomas and Mantle Cell Lymphomas	Bendamustine Plus Rituximab Versus CHOP Plus Rituximab	Bendamustine | Standard chemotherapy CHOP + Ritiximab	3	NCT00991211
505	A Phase II Trial Addressing Feasibility and Activity of Clarithromycin + Lenalidomide Combination: a Full Oral Treatment for Patients With Relapsed/Refractory Extranodal Marginal Zone Lymphoma	Clarithromycin + Lenalidomide Combination: a Full Oral Treatment for Patients With Relapsed/Refractory Extranodal Marginal Zone Lymphoma	clarithromycin and lenalidomide	2	NCT03031483
506	TREATMENT OF PATIENTS WITH HEMATOLOGIC MALIGNANCIES USING MARROW TRANSPLANTATION FROM UNRELATED DONORS MATCHED FOR HLA OR INCOMPATIBLE FOR ONE HLA LOCUS ANTIGEN	Chemotherapy Plus Radiation Therapy and Biological Therapy in Treating Patients With Hematologic Cancer	cyclophosphamide	2	NCT00002553
507	Analysis of Dendritic Phenotype and Function of Patients Receiving VEGF-Trap on VGFT-ST-0202	Analysis of Dendritic Phenotype and Function of Patients Receiving VEGF-Trap on VGFT-ST-0202	 		NCT00896662
508	Dose Densified Chemoimmunotherapy With Early CNS Prophylaxis in Patients Less Than 65 Years With High Risk (aaIPI≥ 2) Diffuse Large B-Cell Lymphoma	CHemoImmunotherapy With Early Central Nervous System (CNS) Prophylaxis	liposomal cytarabine	2	NCT01325194
509	A Phase 2, Open-Label Study Evaluating the Efficacy, Safety, Tolerability, and Pharmacodynamics of GS-9973 in Subjects With Relapsed or Refractory Hematologic Malignancies	Entospletinib in Adults With Relapsed or Refractory Hematologic Malignancies	Entospletinib | Entospletinib SDD	2	NCT01799889
510	A Cancer Research UK Phase I/IIa Clinical Trial of BI-1206; an Antibody to FcƔRIIB (CD32b), as a Single Agent and in Combination With an Anti-CD20 Antibody in Patients With CD32b Positive B-cell Malignancy	BI-1206 and an Anti-CD20 Antibody in Patients With CD32b Positive B-cell Lymphoma or Leukaemia	 	1 2	NCT02933320
511	Phase II Study Evaluating Busulfan and Fludarabine as Preparative Therapy in Adults With Hematopoietic Disorders Undergoing Matched Unrelated Donor Stem Cell Transplantation	Busulfan and Fludarabine Before Donor Stem Cell Transplant in Treating Patients With Hematologic Cancer	busulfan | fludarabine phosphate | methotrexate | tacrolimus	2	NCT00301912
512	Prospective Cohort Study With Risk-adapted Central Nervous System Evaluation in Diffuse Large B-cell Lymphoma	Prospective Cohort Study With Central Nervous System Evaluation in Diffuse Large B-cell Lymphoma	 	2	NCT01202448
513	A Pilot/Feasibility Phase I Study of Bendamustine, Rituximab and Lenalidomide in Patients With Refractory/Relapsed Indolent NHL	Rituximab, Bendamustine Hydrochloride, and Lenalidomide in Treating Patients With Refractory or Relapsed Indolent Non-Hodgkin Lymphoma	bendamustine | lenalidomide	1	NCT01429025
514	INSPIRE: An Internet-based RCT for Long-term Survivors of Hematopoietic Stem Cell Transplantation	Internet-Based Program With or Without Telephone-Based Problem-Solving Training in Helping Long-Term Survivors of Hematopoietic Stem Cell Transplant Cope With Late Complications	 	3	NCT00799461
515	A Phase II Pilot Trial to Estimate Survival After a Non-total Body Irradiation (TBI) Based Conditioning Regimen in Patients Diagnosed With Acute Lymphoblastic Leukemia (ALL) Who Are Pre-allogeneic Hematopoietic Cell Transplantation (HCT) Next-generation-sequence (NGS) Minimal Residual Disease (MRD) Negative	The EndRAD Trial: Eliminating Total Body Irradiation (TBI) for NGS-MRD Negative Children, Adolescents, and Young Adults With ALL	Myeloablative allogeneic HCT with a non-TBI conditioning regimen	2	NCT03509961
516	A Phase I/II Multi-Center, Open Label Trial of the Safety and Efficacy of Fostamatinib in Patients With Relapsed/Refractory B-Cell Lymphoma	Efficacy and Safety Study of Fostamatinib Tablets to Treat B-cell Lymphoma	fostamatinib	1 2	NCT00446095
517	A Phase 2 Open-Label Single-Arm Study to Evaluate the Efficacy and Safety of Loncastuximab Tesirine in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL)	Study to Evaluate the Efficacy and Safety of Loncastuximab Tesirine in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma	Loncastuximab tesirine	2	NCT03589469
518	None	Efficacy of CART-19 Cell Therapy in B Cell Acute Lymphoblastic Leukemia	 	1	NCT02810223
519	An Open-label, Randomized, Phase 2 Study of R-CHOP Plus Enzastaurin Versus R-CHOP in the First-Line Treatment of Patients With Intermediate and High-Risk Diffuse Large B-Cell Lymphoma	An Study of Patients With Lymphoma Who Take R-CHOP and Enzastaurin Compared to Patients Who Take R-CHOP Only	enzastaurin | rituximab | cyclophosphamide | doxorubicin | vincristine | prednisone	2	NCT00451178
520	Efficacy and Safety of Two Comparable Single Low Doses of Rasburicase Followed by Allopurinol in Adult Patients With Malignancy	Rasburicase and Allopurinol in Treating Patients With Hematologic Malignancies	rasburicase | allopurinol	2	NCT01564277
521	Phase II Multicenter Trial Of Pentostatin and Rituximab In Patients With Previously Treated and Untreated Low Grade B-Cell Non-Hodgkin's Lymphoma (NHL) Including Chronic Lymphocytic Leukemia (CLL)	Pentostatin and Rituximab in Treating Patients With Low-Grade Non-Hodgkin's Lymphoma or Chronic Lymphocytic Leukemia	pentostatin	2	NCT00026351
522	Phase I of Intrathecal Melphalan in Patients With Recurrent Neoplastic Meningitis	Melphalan in Patients With Neoplastic Meningitis	melphalan	1	NCT00002750
523	A Randomized Study of Ethyol (Amifostine) With Platinum Based Salvage Chemotherapy in Patients With Lymphoma Undergoing Autologous Stem Cell Transplantation	Combination Chemotherapy With or Without Amifostine in Treating Patients With Recurrent or Refractory Non-Hodgkin's Lymphoma or Hodgkin's Disease Undergoing Stem Cell Transplantation	Amifostine | DHAP	2	NCT00003143
524	A Multicenter, Randomized, Double-blind, Placebo-controlled Phase III Trial Comparing the Efficacy of Bevacizumab in Combination With Rituximab and CHOP (R-CHOP + Bevacizumab) Versus Rituximab and CHOP (R-CHOP) in Previously Untreated Patients With CD20-positive Diffuse Large B-cell Lymphoma (DLBCL)	A Study of Bevacizumab (Avastin) in Combination With Rituximab (MabThera) and CHOP (Cyclophosphamide, Hydroxydaunorubicin [Doxorubicin], Oncovin [Vincristine], Prednisone) Chemotherapy in Patients With Diffuse Large B-cell Lymphoma	Bevacizumab | Rituximab | CHOP | Placebo	3	NCT00486759
525	Burkimab:Study Multicenter of Optimization of the Treatment of LLA-B and the Burkitt's Lymphoma in Adult Patients (From 15 Years Old)	Rituximab Combined With Chemotherapy in Burkitt`s Lymphoma	RITUXIMAB	2	NCT00388193
526	A Phase I Study of Oxaliplatin (NSC# 266046, IND #57004) and Irinotecan in Pediatric Patients With Refractory Solid Tumors and Lymphomas	Oxaliplatin and Irinotecan in Treating Young Patients With Refractory Solid Tumors or Lymphomas	irinotecan hydrochloride | oxaliplatin	1	NCT00101270
527	Phase II Randomized Study With R-DHAP +/- Bortezomib as Induction Therapy in Relapsed/Refractory Diffuse Large B-cell Lymphoma (DLBCL) Patients Eligible to Transplantation. BR-DHAP Versus R-DHAP.	Phase II Randomized Study With R-DHAP +/- Bortezomib as Induction Therapy in Relapsed/Refractory Diffuse Large B-cell Lymphoma (DLBCL) Patients Eligible to Transplantation. BR-DHAP Versus R-DHAP.	R-DHAP | BR-DHAP	2 3	NCT01805557
528	Pharmacokinetics, Pharmacodynamics, Safety and Tolerability of Multiple Dose Regimens of MT-3724 for the Treatment of Patients With Relapsed Non-Hodgkin's B-Cell Lymphoma and B-Cell Chronic Lymphocytic Leukemia	PK, PD, Safety, Tolerability of Multiple Dose Regimens of MT-3724 for the Treatment of Patients With Relapsed Non-Hodgkin's B-Cell Lymphoma and B-Cell Chronic Lymphocytic Leukemia	MT-3724	1	NCT02361346
529	Donor Natural Killer Cell Infusion for the Prevention of Relapse or Graft Failure After HLA-Haploidentical Familial Donor Bone Marrow Transplantation-A Phase I Study	Donor Natural Killer Cell Infusion in Preventing Relapse or Graft Failure in Patients Who Have Undergone Donor Bone Marrow Transplant	 	1	NCT00569283
530	An Exploratory Phase 1/2 Trial To Evaluate The Safety And Efficacy Of JCAR017 Combinations In Subjects With Relapsed/Refractory B-Cell Malignancies (PLATFORM)	A Safety and Efficacy Trial of JCAR017 Combinations in Subjects With Relapsed/Refractory B-cell Malignancies (PLATFORM)	Durvalumab | CC-122	1 2	NCT03310619
531	"Subcutaneous Rituximab and Intravenous Bendamustine in Very Elderly Patients or Elderly Medically Non Fit Patients (""Slow Go"") With Aggressive CD20-positive B-cell"	Rituximab and Bendamustine in Very Elderly Patients or Elderly Medically Non Fit Patients With Aggressive B-cell Lymphoma	Bendamustine and subcutaneous rituximab	2	NCT01686321
532	A Phase 1 Study of SB1518 for the Treatment of Advanced Lymphoid Malignancies	A Phase 1 Study of SB1518 for the Treatment of Advanced Lymphoid Malignancies	SB1518	1	NCT00741871
533	A Phase II Study of Reduced Intensity Allogeneic Bone Marrow Transplantation for the Treatment of Relapsed Non-Hodgkin and Hodgkin Lymphoma	Reduced-Intensity Regimen Before Allogeneic Transplant for Patients With Relapsed Non-Hodgkin's or Hodgkin's Lymphoma	Pentostatin | Cyclosporin (CSA) | Mycophenolate mofetil (MMF) | Methotrexate (MTX)	2	NCT00057954
534	Phase I-II Study Combining Brentuximab Vedotin With Second Line Salvage Chemotherapy (R-DHAP) in CD30 Positive Diffuse Large B-cell Lymphoma Patients Refractory to First Line Chemotherapy or in First Relapse Who Are Eligible for High Dose Treatment Followed by Autologous Stem Cell Transplantation	Phase I-II Study in CD30 Positive Diffuse Large B-cell Lymphoma Patients Refractory to First Line Chemotherapy or in First Relapse	Brentuximab Vedotin	1 2	NCT03356054
535	High-dose Chemotherapy With Transplantation of Gene-modified Haematopoietic Stem Cells for HIV-positive Patients With Malignant Diseases Indicating an HSCT	High-dose Chemotherapy With Transplantation of Gene-modified Haematopoietic Stem Cells for HIV-positive Patients With Malignant Diseases Indicating an HSCT	 	1 2	NCT00858793
536	Rituximab (IDEC-C2B8) Plus GM-CSF in Patients With Follicular B-Cell Lymphoma	Rituximab + GM-CSF in Patients With Follicular B-Cell Lymphoma	Rituximab | GM-CSF	2	NCT01939730
537	A Phase I Trial of Combination Bryostatin 1 (NSC 339555) and Vincristine in B-Cell Malignancies	Bryostatin and Vincristine in B-Cell Malignancies	bryostatin 1 | vincristine sulfate	1	NCT00003166
538	A Phase 1/Phase 2 Clinical Study to Evaluate the Safety and Efficacy of a Combination of MK-4280 and Pembrolizumab (MK-3475) in Participants With Hematologic Malignancies	Study to Evaluate the Safety and Efficacy of a Combination of MK-4280 and Pembrolizumab (MK-3475) in Participants With Hematologic Malignancies (MK-4280-003)	 	1 2	NCT03598608
539	Stem Cell Gene Therapy for HIV Mediated by Lentivector Transduced, Pre-selected CD34+ Cells	Gene Therapy in Treating Patients With Human Immunodeficiency Virus-Related Lymphoma Receiving Stem Cell Transplant	Carmustine | Cytarabine | Etoposide | Melphalan	1 2	NCT02797470
540	T-Cell Depleted, Reduced-Intensity Allogeneic Stem Cell Transplantation From Haploidentical Related Donors For Hematologic Malignancies	T-Cell-Depleted Allogeneic Stem Cell Transplantation After Immunoablative Induction Chemotherapy and Reduced-Intensity Transplantation Conditioning in Treating Patients With Hematologic Malignancies	cyclophosphamide | cyclosporine | cytarabine | doxorubicin hydrochloride | etoposide | fludarabine phosphate | prednisone | vincristine sulfate	1	NCT00080925
541	Randomized Phase II Trial on Primary Chemotherapy With High-dose Methotrexate, Alone or Associated With High-dose Cytarabine, Followed by Response- and Age-tailored Radiotherapy for Immunocompetent Patients With Newly Diagnosed Primary Central Nervous System Lymphoma	Phase II Trial of Combined Modality Treatment in Primary Central Nervous System Lymphoma	high dose methotrexate | high dose cytarabine	2	NCT00210314
542	Phase I Safety Study Of 131I-Lym-1 For The Treatment Of Previously Treated Diffuse Large B-Cell Lymphoma	Radiolabeled Monoclonal Antibody in Treating Patients With Previously Treated Large Cell Lymphoma	 	1	NCT00028613
543	Follow-up Observational Study of the Randomised Intergroup Trial of First Line Treatment for Patients With Diffuse Large B-Cell Non-Hodgkin's Lymphoma With CHOP-Like Chemotherapy Regimen With or Without the Anti-CD20 Antibody Rituximab (IDEC-C2B8) [MINT]	Observation in Patients With Diffuse Large B-Cell Non-Hodgkin's Lymphoma Treated on Clinical Trial CAN-NCIC-LY9	 		NCT00400907
544	A Modular Phase I/IIa, Open-Label, Multicentre Study to Assess AZD2014 in Combination With Novel Anti-Cancer Agents in Patients With Relapsed or Refractory Diffuse Large B Cell Lymphoma (INHIBITOR Study)	AZD2014 Plus Novel Anti-Cancer Agents in Relapsed or Refractory Diffuse Large B-Cell Lymphoma	AZD2014 | Ibrutinib	1	NCT02780830
545	Phase II Study of the Association of Velcade to R-CHOP in the Treatment of B Cell Lymphoma	Association of Velcade to R-CHOP in the Treatment of B Cell Lymphoma	Rituximab -CHOP plus Velcade	2	NCT00169468
546	A Phase I Study of Administrating CD19 Chimeric Antigen Receptor Expressing T Cells Followed by Allogeneic Stem Cell Transplantation in Patients With Refractory CD19+ B-linage Leukemia/Lymphoma	Anti-CD19 CAR T Infusion Combined With Allogeneic Stem Cell Transplantation for B-cell Leukemia/Lymphoma	Fludarabine | Cyclophosphamide	1	NCT03110640
547	Improvement of Outcome in Elderly Patients or Patients Not Eligible for High-dose Chemotherapy With Aggressive NHL in First Relapse/Progression by Adding Nivolumab to Gemcitabine, Oxaliplatin Plus Rituximab in Case of B-cell Lymphoma	Nivolumab With Gemcitabine, Oxaliplatin + Rituximab in r/r Elderly Lymphoma Patients	Nivolumab | Rituximab | Gemcitabine	2 3	NCT03366272
548	A Phase I Study of AT7519M Given Twice Weekly in Patients With Advanced Incurable Malignancy	AT7519M in Treating Patients With Advanced or Metastatic Solid Tumors or Refractory Non-Hodgkin's Lymphoma	CDKI AT7519	1	NCT00390117
549	A Phase 1 Study of CPI-1205, a Small Molecule Inhibitor of EZH2, in Patients With B-Cell Lymphomas	A Study Evaluating CPI-1205 in Patients With B-Cell Lymphomas	CPI-1205	1	NCT02395601
550	A Phase I/II Study of the Raf Kinase/VEGFR Inhibitor Sorafenib in Combination With the mTOR Inhibitor RAD001 (Everolimus) in Patients With Relapsed Non-Hodgkin Lymphoma, Hodgkin Lymphoma, or Multiple Myeloma	Sorafenib and Everolimus in Treating Patients With Relapsed or Refractory Lymphoma or Multiple Myeloma	RAD001 | Sorafenib	1 2	NCT00474929
551	Phase II Study of Dose-Adjusted EPOCH+/-Rituximab in Adults With Untreated Burkitt Lymphoma, c-MYC Positive Diffuse Large B-Cell Lymphoma and Plasmablastic Lymphoma	Phase II Study of Dose-Adjusted EPOCH-Rituximab in Adults With Untreated Burkitt Lymphoma and c-MYC+ Diffuse Large B-Cell Lymphoma	EPOCH-R | EPOCH-RR	2	NCT01092182
552	The Effects of Procrit (Epoetin Alfa) on Hemoglobin Symptom Distress and Quality of Life During Chemotherapy in Lymphoma Patients With Mild to Moderate Anemia A Multicenter Trial	Epoetin Alfa in Treating Anemia in Patients With Lymphoma, Chronic Lymphocytic Leukemia, or Multiple Myeloma and Anemia Caused By Chemotherapy	 	3	NCT00003341
553	Phase II Study of Intensified CVP, Rituximab, and High Dose Cyclophosphamide for Adult Burkitt or Burkitt-Like Lymphoma	Combination Chemotherapy and Rituximab in Treating Patients With Newly Diagnosed Burkitt's Lymphoma or Leukemia	cyclophosphamide | cytarabine | leucovorin calcium | methotrexate | prednisone | therapeutic hydrocortisone | vincristine sulfate	2	NCT00133991
554	A Phase II Study Of PS-341 (VELCADE) In Chemotherapy-Refractory Diffuse Large B-Cell Lymphoma (DLBCL)	Bortezomib in Treating Patients With Diffuse Large B-Cell Lymphoma That Is Refractory To Chemotherapy	bortezomib	2	NCT00066508
555	Phase II Trial of EPOCH and Rituxan Combined Therapy in Patients With Refractory or Relapsed CD20 Positive Intermediate Grade B-Cell Non-Hodgkin's Lymphoma	Rituximab Followed by Combination Chemotherapy in Treating Patients With Refractory or Recurrent Non-Hodgkin's Lymphoma	EPOCH regimen | cyclophosphamide | doxorubicin hydrochloride | etoposide | prednisone | vincristine sulfate	2	NCT00006669
556	A Phase IIa Study of RItuximab and VArlilumab in Relapsed or Refractory B-cell Malignancies	A Combination of Rituximab and Varlilumab Immunotherapy in Patients With B-cell Lymphoma	Varlilumab	1 2	NCT03307746
557	Multicenter Phase II Study of the Bendamustine, Obinutuzumab, and Dexamethasone (BOD) Regimen in Un-fit Elderly ≥ 70 Years of Age Diffuse Large B-Cell Non-Hodgkin Lymphoma (DLBCL) Patients	Bendamustine, Obinutuzumab, and Dexamethasone in Older Patients With Diffuse Large B-cell Lymphoma	Bendamustine Hydrochloride | Dexamethasone	2	NCT02420210
558	PHASE II TRIAL OF FLUDARABINE AND SANDOSTATIN FOR RELAPSED LOW-GRADE NON-HODGKIN'S LYMPHOMA	Fludarabine Plus Octreotide in Treating Patients With Relapsed Low-Grade Non-Hodgkin's Lymphoma	fludarabine phosphate | octreotide acetate	2	NCT00002779
559	A Phase II Study of 131I-rituximab for Elderly or Poor Performance Status Patients With Diffuse Large B Cell Lymphoma (DLBCL) or for Adult Patients With Relapsed or Refractory DLBCL	A Phase II Study of 131I-rituximab for Relapsed/Refractory Diffuse Large B Cell Lymphoma (DLBCL)	131I-rituximab	2	NCT01676558
560	Single-agent Idelalisib for Previously Treated Low-grade Lymphoma: A Phase 1/2 Study of Safety, Efficacy, and Flow-cytometric Assessment of Tumor-cell Signaling Events	Safety and Efficacy Study of Idelalisib (GS-1101, CAL-101) in Patients With Previously Treated Low-grade Lymphoma	Idelalisib	1 2	NCT01306643
561	A Phase 1-2, First-in-Human Study of CX-2029 in Adults With Metastatic or Locally Advanced Unresectable Solid Tumors or Diffuse Large B-cell Lymphomas (PROCLAIM-CX-2029)	PROCLAIM-CX-2029: A Trial to Find Safe and Active Doses of an Investigational Drug CX-2029 for Patients With Solid Tumors or DLBCL	CX-2029	1 2	NCT03543813
562	A Pilot Study of Dose Intensification of Methotrexate in Patients With Advanced-Stage (III/IV) Small Non-Cleaved Cell Non-Hodgkins Lymphoma and B-Cell All	Combination Chemotherapy in Treating Patients With Non-Hodgkin's Lymphoma or Acute Lymphocytic Leukemia	cyclophosphamide | cytarabine | dexamethasone | doxorubicin hydrochloride | etoposide | ifosfamide | leucovorin calcium | methotrexate | vincristine sulfate	3	NCT00005977
563	A Dose-escalation, Safety and Pharmacokinetic Study of SAR3419 Administered as a Single Agent by Intravenous Infusion Once Weekly in Patients With Relapsed/Refractory CD19-positive B-cell Non-Hodgkin's Lymphoma (NHL)	SAR3419 Administered Weekly in Patients With Relapsed/Refractory CD19-positive B-cell Non-Hodgkin's Lymphoma	SAR3419	1	NCT00796731
564	Idelalisib Post Allogeneic Hematopoietic Stem Cell Transplant (HSCT) in B Cell Derived Malignancies: A Phase 1 Double Blinded Randomized Placebo Toxicity Trial	Idelalisib Post Allogeneic Hematopoietic Stem Cell Transplant (HSCT) in B Cell Derived Malignancies	Idelalisib 100 MG | Placebo Oral Tablet	1	NCT03151057
565	A Phase II Trial to Evaluate the Safety, Feasibility and Efficacy of a Salvage Therapy Consisting of Temsirolimus Added to the Standard Therapy R-DHAP for the Treatment of Patients With Relapsed or Refractory DLBCL - the STORM Trial	STORM: Temsirolimus, Rituximab and DHAP for Relapsed and Refractory Diffuse Large B-cell Lymphoma	Rituximab, Temsirolimus, DHAP, intravenous	2	NCT01653067
566	A Randomised Evaluation of Molecular Guided Therapy for Diffuse Large B-cell Lymphoma With Bortezomib	A Randomised Evaluation of Molecular Guided Therapy for Diffuse Large B-cell Lymphoma With Bortezomib	Intravenous | Bortezomib	3	NCT01324596
567	Phase I Study of Bryostatin 1 (NSC 339555) and Fludarabine in Patients With Chronic Lymphocytic Leukemia and Indolent Non-Hodgkin's Lymphoma	Bryostatin + Fludarabine in Treating Patients With Chronic Lymphocytic Leukemia or Relapsed Indolent Non-Hodgkin's Lymphoma	bryostatin 1 | fludarabine phosphate	1	NCT00005580
568	A Phase I Study of De-Immunized DI-Leu16-IL2 Immunocytokine in Patients With B-Cell Non-Hodgkin Lymphoma	Fusion Protein Cytokine Therapy After Rituximab in Treating Patients With B-Cell Non-Hodgkin Lymphoma	 	1	NCT00720135
569	Assessment of the Safety and Feasibility of Administering T Cells Expressing an Anti-CD19 Chimeric Antigen Receptor to Patients With B-cell Lymphoma	CAR T Cell Receptor Immunotherapy for Patients With B-cell Lymphoma	Fludarabine | Cyclophosphamide	1	NCT00924326
570	A Phase II, Single Arm, Multicenter Open Label Trial to Determine the Safety and Efficacy of Tisagenlecleucel in Pediatric Subjects With Relapsed or Refractory Mature B-cell Non-Hodgkin Lymphoma (NHL)	Phase II Open Label Trial to Determine Safety & Efficacy of Tisagenlecleucel in Pediatric Non-Hodgkin Lymphoma Patients	 	2	NCT03610724
571	A Phase I Study of AT9283 Given As a 24 Hour Infusion on Days 1 and 8 Every Three Weeks in Patients With Advanced Incurable Malignancy	Aurora Kinase Inhibitor AT9283 in Treating Patients With Advanced or Metastatic Solid Tumors or Non-Hodgkin's Lymphoma	Aurora kinase inhibitor AT9283	1	NCT00443976
572	Phase I Trial With Cohort Expansion of Pentostatin, Bendamustine and Ofatumumab (PBO) for the Treatment of Chronic Lymphocytic Leukemia and Non-Hodgkin's Lymphoma	Combination of Pentostatin, Bendamustine and Ofatumumab for Treatment of Chronic Lymphocytic Leukemia and Lymphoma	Bendamustine | Pentostatin | Ofatumumab	1	NCT01352312
573	A Randomized Phase III Study to Determine the Most Promising Postgrafting Immunosuppression for Prevention of Acute GVHD After Unrelated Donor Hematopoietic Cell Transplantation Using Nonmyeloablative Conditioning for Patients With Hematologic Malignancies: A Multi-center Trial	Graft-Versus-Host Disease Prophylaxis in Treating Patients With Hematologic Malignancies Undergoing Unrelated Donor Peripheral Blood Stem Cell Transplant	Cyclosporine | Fludarabine Phosphate | Mycophenolate Mofetil | Sirolimus	3	NCT01231412
574	A Phase I Trial of PS-341 and Fludarabine for Relapsed and Refractory Indolent Non-Hodgkin's Lymphoma and Chronic Lymphocytic Leukemia	Bortezomib and Fludarabine With or Without Rituximab in Treating Patients With Relapsed or Refractory Indolent Non-Hodgkin's Lymphoma or Chronic Lymphocytic Leukemia	bortezomib | fludarabine phosphate	1	NCT00068315
575	A Multi-center Phase II Study of R-ESHAP Followed by Autologous Transplantation as Salvage Treatment for Patients With Refractory or Relapsed Diffuse Large B-cell Lymphoma.	R-ESHAP Followed by Autologous Transplantation for Refractory or Relapsed Diffused Large B-cell Lymphoma	R-ESHAP	2	NCT01278602
576	A Phase I Trial of Weekly 17-Allylamino-17 Demethoxygeldanamycin	17-N-Allylamino-17-Demethoxygeldanamycin in Treating Patients With Advanced Epithelial Cancer, Malignant Lymphoma, or Sarcoma	tanespimycin	1	NCT00004241
577	A Dose-Escalation Study of Flavopiridol (NSC 649890) Administered as a 30 Minute Loading Dose Followed by a 4-Hour Infusion in Patients With Previously Treated B-Cell Chronic Lymphocytic Leukemia (CLL)/Small Lymphocytic Lymphoma (SLL)	Flavopiridol in Treating Patients With Previously Treated Chronic Lymphocytic Leukemia or Lymphocytic Lymphoma	alvocidib	1 2	NCT00058240
578	Study of the ADAM17 Inhibitor INCB7839 Combined With Rituximab After Autologous Hematopoietic Cell Transplantation (HCT) For Patients With Diffuse Large B Cell Non-Hodgkin Lymphoma (DLBCL)	ADAM17 Inhibitor/ Rituximab After Auto HCT for DLBCL	Rituximab | INCB7839	1 2	NCT02141451
579	An Open-Label, Long-Term, Safety and Tolerability Study of VEGF Trap Administered Intravenously in Patients With Advanced Solid Tumors or Lymphoma	Intravenous VEGF Trap in Treating Patients With Relapsed or Refractory Advanced Solid Tumors or Non-Hodgkin's Lymphoma	 	1	NCT00082823
580	A Phase I/II Study of Intratumoral Injection of SD-101, an Immunostimulatory CpG, and Intratumoral Injection of Ipilimumab, an Anti-CTLA4 Monoclonal Antibody, in Combination With Local Radiation in Low-Grade B-Cell Lymphomas	A Phase I/II Study of Intratumoral Injection of SD-101	SD-101	1 2	NCT02254772
581	A Multinational, Multicenter, Open-Label Phase II Study of SyB L-0501 in Combination With Rituximab in Patients With Relapsed/Refractory Diffuse Large B-Cell Lymphoma	Study of SyB L-0501 in Combination With Rituximab to Treat Relapsed/Refractory Diffuse Large B-Cell Lymphoma	SyB L-0501 | Rituximab	2	NCT01118845
582	A Phase I Trial to Determine Safety and Tolerability of Ex Vivo Expanded Human Myeloid Progenitor Cells (CLT-008) Infused 24 Hours Post-Transplant to Support Allogeneic Umbilical Cord Blood Transplantation for Hematologic Malignancies	Safety Study of Human Myeloid Progenitor Cells (CLT-008) After Cord Blood Transplant for Hematologic Malignancy	 	1	NCT00891137
583	Oral Azacitidine (CC-486) Plus Salvage Chemotherapy in Relapsed/Refractory Diffuse Large B Cell Lymphoma	Oral Azacitidine Plus Salvage Chemotherapy in Relapsed/Refractory Diffuse Large B Cell Lymphoma	Oral azacitidine | R-ICE	1	NCT03450343
584	Effectiveness of Circulating DNA for Predicting the Relapse and Overall Survival in Non-hodgkin Lymphoma Patients	Effectiveness of Circulating DNA for Predicting the Relapse and Overall Survival in NHL Patients	 		NCT03079947
585	Genetic Studies of the X-Linked Lymphoproliferative Disease	Genetic Studies of X-linked Lymphoproliferative Disease	 		NCT00359411
586	A Phase 2 Study to Evaluate the Efficacy and Tolerability of Debio 1562 in Combination With Rituximab in Patients With Relapsed and/or Refractory Diffuse Large B-Cell Lymphoma and Other Forms of Non-Hodgkin's Lymphoma	Study to Evaluate the Efficacy and Tolerability Debio 1562 in Combination With Rituximab in Patients With Relapsed and/or Refractory DLBCL and Other Forms of NHL	Debio 1562 | Rituximab	2	NCT02564744
587	An Open-label, Phase 1b Study of ACP 196 in Subjects With Relapsed or Refractory de Novo Activated B-cell (ABC) Subtype of Diffuse Large B-Cell Lymphoma	ACP-196, a Btk Inhibitor, for Treatment of de Novo Activated B-cell (ABC) Subtype of Diffuse Large B-Cell Lymphoma	ACP-196	1	NCT02112526
588	A Phase II Study to Evaluate the Efficacy of Oral Beclomethasone Dipropionate for Prevention of Acute GVHD After Hematopoietic Cell Transplantation With Myeloablative Conditioning Regimens	Beclomethasone Dipropionate in Preventing Acute Graft-Versus-Host Disease in Patients Undergoing a Donor Stem Cell Transplant for Hematologic Cancer	beclomethasone dipropionate | placebo | tacrolimus | methotrexate	2	NCT00489203
